animal_id,alpha_mean,alpha_sd
A-016,-4.60298969792415,1.811583082907339
A-022,-6.2938971091225,1.6025090759743361
A-018,-6.71073895399,1.5862011214265035
A-017,-7.252593304925,1.6533593973059875
A-019,-7.2755430777425,1.629844369507181
A-020,-7.407681894374999,1.6804241836607698
A-015,-8.314403019752499,1.8094329944354222
A-039,-8.989100247870502,2.3074206322915725
A-006,-9.234395286057499,2.0926296884809235
A-005,-10.422468964975,2.0646578707987815
A-011,-11.02338077525,2.0260009128406895
A-014,-11.13420385535,2.1472616115526337
A-007,-11.386390111,2.134084631496266
A-003,-12.936069014025001,2.389380417604833
A-009,-13.1163461182,2.1969257289283006
A-010,-13.920458485325,2.3236129334128313
A-001,-15.498346639025,2.267875009817947
