animal_id,alpha_mean,alpha_sd
A-016,-6.7515789156825,1.5363448826874562
A-022,-8.11471973325,1.3951280670096704
A-018,-8.426867674600002,1.3986836559626548
A-017,-9.068476675825,1.4353089611239689
A-019,-9.079154935125,1.4201851007424413
A-020,-9.366342644699998,1.4492778537646742
A-015,-10.448832650375,1.5359420141313533
A-006,-12.13047270155,1.5384688115208562
A-005,-13.226536602100001,1.5534525737593596
A-011,-13.702383632099998,1.5436291568883669
A-014,-14.00663013175,1.6066896772358716
A-007,-14.180350455575,1.5962661067450594
A-009,-15.963694926,1.6605962289574363
A-003,-16.1524833505,1.7293082225802758
A-010,-16.9287587785,1.7296406535883184
A-001,-18.2952300565,1.7487822014352445
