animal_id,alpha_mean,alpha_sd
A-040,2.1345498740497253,1.5317794156704425
A-052,2.09313191319158,1.5543877256796295
A-032,1.8895214821461375,1.3602504304517264
A-033,1.5781314420456252,1.3907510735082442
A-042,1.4338310872209499,1.730412130669127
A-044,1.2819211252465725,1.7122070871735362
A-047,1.1180887278691651,1.717798479615545
A-001,0.3325530926543525,0.690137201866059
A-050,0.039871135609175004,2.416190444780581
A-049,-0.004180518407437493,2.3827140158135065
A-039,-0.442733181557886,1.1212393277179287
A-031,-0.8677589896454274,1.6758740933177212
A-007,-0.889045640837694,0.9608047892480415
A-030,-1.041118529571225,1.5345632966336227
A-010,-1.28558322578185,0.7981538228019882
A-009,-1.2898062295797799,0.8001323319478423
A-011,-1.8132434294229502,1.0405232771049973
A-003,-1.9460761563954247,1.0893741263067576
A-017,-2.3228798716453247,1.575107652548036
A-019,-2.323824316768975,1.594353252655436
A-005,-2.3889336890878248,1.333562634082287
A-014,-2.50011145662795,1.2983886433257834
A-018,-2.524874477071725,1.665030353647566
A-020,-2.531928468186675,1.5003686795853564
A-015,-2.7689528551920803,1.5432710192999404
A-022,-2.8324368111412,1.6259637188877787
A-016,-3.37546856517575,1.7099768600196834
A-006,-3.4996211830794,1.5326706596950057
