column,correlation,abs_correlation
grass_dm_log,0.09764305827080622,0.09764305827080622
weight_se,-0.0810280276531404,0.0810280276531404
silage_rumput_mw,-0.08062266913383759,0.08062266913383759
weight_ddmi,0.07519180992721419,0.07519180992721419
per_slobber_dm_squared,-0.07162040761548154,0.07162040761548154
total_dmi_log_dw,-0.06780403433503315,0.06780403433503315
1_over_tdn_rumput,-0.06637826189715074,0.06637826189715074
feed_cost_per_dm_squared,-0.06066940809603387,0.06066940809603387
total_dmi_dw,-0.0595415502789559,0.0595415502789559
per_slobber_dm,-0.055301239338256473,0.055301239338256473
